Flood?,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Avg Temp
0,80,0.659259259,1.6,8.314893617,23.45
0,70,1.085185185,1.8,8.131914894,28.3
0,85,1.772222222,2.3,8.219148936,31.1
0,77,1.703703704,4.2,7.046808511,31.45
0,83,1.631481481,5.3,4.072340426,31
1,87,1.57037037,5.8,3.738297872,29.65
0,87,1.32962963,5.3,4.272340426,30.9
0,86,0.937037037,5.3,4.823404255,30.35
0,80,0.490740741,3.2,7,28.8
0,73,0.312962963,0.9,7.85106383,24.6
0,76,0.337037037,0.2,7.725531915,22.1
0,77,0.453703704,1.7,7.831914894,23.3
0,75,0.659259259,2.3,8.314893617,23.55
0,73,1.085185185,2.4,8.131914894,25.05
0,79,1.772222222,3,8.219148936,30.55
1,83,1.703703704,4,7.046808511,31.15
0,84,1.631481481,4.9,4.072340426,31.25
1,90,1.57037037,6,3.738297872,29.75
0,88,1.32962963,5.6,4.272340426,29.75
1,85,0.937037037,5.4,4.823404255,30.2
0,86,0.490740741,3.3,7,29.65
0,86,0.312962963,1.7,7.85106383,26.7
0,78,0.337037037,0.8,7.725531915,22.75
0,77,0.453703704,1.4,7.831914894,22.2
0,80,0.659259259,1,8.314893617,23.05
0,72,1.085185185,1.5,8.131914894,28.5
0,74,1.772222222,3.2,8.219148936,31.05
0,79,1.703703704,4.6,7.046808511,30.85
1,85,1.631481481,5.4,4.072340426,30.2
1,87,1.57037037,6.5,3.738297872,29.8
1,87,1.32962963,6.1,4.272340426,29.25
1,91,0.937037037,5.7,4.823404255,29.55
1,87,0.490740741,4.4,7,28.3
0,79,0.312962963,0.6,7.85106383,24.2
0,78,0.337037037,0.8,7.725531915,21
0,71,0.3,1.3,7.831914894,20.05
0,77,0.1,0.5,8.314893617,24.6
0,69,0.6,1.8,8.131914894,27.25
0,71,1,1.8,8.219148936,30.75
1,76,1.1,4.2,7.046808511,31.8
1,84,0.6,5,4.072340426,30.45
1,89,0.4,6,3.738297872,29.15
1,88,0.4,6.2,4.272340426,30.1
1,88,0.3,5.4,4.823404255,29.95
1,80,1.6,2.5,7,28.95
0,74,0.3,1.3,7.85106383,25.25
0,75,0.1,0.8,7.725531915,21.7
0,73,0.2,1.7,7.831914894,21.65
0,70,0.3,2.2,8.314893617,23.25
0,79,0.9,2.9,8.131914894,28.6
0,79,0.8,2.9,8.219148936,31
1,81,1.2,3.6,7.046808511,31.05
1,86,0.5,5.9,4.072340426,30.9
